snapshot_date,symbol,idx_code,issuer_name,board,sector
2025-09-20,AADI.JK,AADI,Pt Adaro Andalan Indonesia Tbk,,Energy minerals
2025-09-20,AALI.JK,AALI,PT Astra Agro Lestari Tbk,,Process industries
2025-09-20,ABBA.JK,ABBA,PT Mahaka Media Tbk,,Consumer services
2025-09-20,ABDA.JK,ABDA,PT Asuransi Bina Dana Arta Tbk Class A,,Finance
2025-09-20,ABMM.JK,ABMM,PT ABM Investama Tbk,,Energy minerals
2025-09-20,ACES.JK,ACES,PT Aspirasi Hidup Indonesia Tbk,,Retail trade
2025-09-20,ACRO.JK,ACRO,PT Samcro Hyosung Adilestari Tbk Class A,,Process industries
2025-09-20,ACST.JK,ACST,PT Acset Indonusa Tbk,,Industrial services
2025-09-20,ADCP.JK,ADCP,PT Adhi Commuter Properti Tbk,,Finance
2025-09-20,ADES.JK,ADES,PT Akasha Wira International Tbk,,Consumer non-durables
2025-09-20,ADHI.JK,ADHI,PT Adhi Karya (Persero) Tbk,,Industrial services
2025-09-20,ADMF.JK,ADMF,PT Adira Dinamika Multi Finance Tbk,,Finance
2025-09-20,ADMG.JK,ADMG,PT Polychem Indonesia Tbk,,Process industries
2025-09-20,ADMR.JK,ADMR,PT Alamtri Minerals Indonesia Tbk,,Energy minerals
2025-09-20,ADRO.JK,ADRO,PT Alamtri Resources Indonesia Tbk,,Energy minerals
2025-09-20,AEGS.JK,AEGS,PT Anugerah Spareparts Sejahtera Tbk,,Producer manufacturing
2025-09-20,AGAR.JK,AGAR,PT Asia Sejahtera Mina Tbk,,Distribution services
2025-09-20,AGII.JK,AGII,PT Samator Indo Gas Tbk,,Process industries
2025-09-20,AGRO.JK,AGRO,PT Bank Raya Indonesia Tbk,,Finance
2025-09-20,AGRS.JK,AGRS,PT Bank IBK Indonesia Tbk,,Finance
2025-09-20,AHAP.JK,AHAP,PT Asuransi Harta Aman Pratama Tbk,,Finance
2025-09-20,AIMS.JK,AIMS,PT Artha Mahiya Investama Tbk,,Distribution services
2025-09-20,AISA.JK,AISA,PT FKS Food Sejahtera Tbk Class A,,Consumer non-durables
2025-09-20,AKPI.JK,AKPI,PT Argha Karya Prima Industry Tbk,,Process industries
2025-09-20,AKRA.JK,AKRA,PT AKR Corporindo Tbk,,Distribution services
2025-09-20,AKSI.JK,AKSI,PT Mineral Sumberdaya Mandiri Tbk,,Finance
2025-09-20,ALDO.JK,ALDO,PT Alkindo Naratama Tbk,,Process industries
2025-09-20,ALII.JK,ALII,PT Ancara Logistics Indonesia Tbk,,Consumer services
2025-09-20,ALKA.JK,ALKA,"PT Alakasa Industrindo, Tbk Class A",,Non-energy minerals
2025-09-20,AMAG.JK,AMAG,PT Asuransi Multi Artha Guna Tbk,,Finance
2025-09-20,AMAN.JK,AMAN,PT Makmur Berkah Amanda Tbk,,Finance
2025-09-20,AMAR.JK,AMAR,PT Bank Amar Indonesia Tbk,,Finance
2025-09-20,AMFG.JK,AMFG,PT Asahimas Flat Glass Tbk,,Process industries
2025-09-20,AMIN.JK,AMIN,PT Ateliers Mecaniques D'Indonesie Tbk,,Producer manufacturing
2025-09-20,AMMN.JK,AMMN,PT Amman Mineral Internasional Tbk,,Non-energy minerals
2025-09-20,AMMS.JK,AMMS,PT Agung Menjangan Mas Tbk,,Process industries
2025-09-20,AMOR.JK,AMOR,PT Ashmore Asset Management Indonesia Tbk,,Finance
2025-09-20,AMRT.JK,AMRT,PT Sumber Alfaria Trijaya,,Retail trade
2025-09-20,ANDI.JK,ANDI,PT Andira Agro Tbk,,Process industries
2025-09-20,ANJT.JK,ANJT,PT Austindo Nusantara Jaya Tbk,,Process industries
2025-09-20,ANTM.JK,ANTM,PT Aneka Tambang Tbk,,Non-energy minerals
2025-09-20,APEX.JK,APEX,PT Apexindo Pratama Duta Tbk,,Industrial services
2025-09-20,APIC.JK,APIC,PT Pacific Strategic Financial Tbk Class A,,Finance
2025-09-20,APII.JK,APII,PT Arita Prima Indonesia Tbk,,Producer manufacturing
2025-09-20,APLI.JK,APLI,PT Asiaplast Industries Tbk,,Process industries
2025-09-20,APLN.JK,APLN,PT Agung Podomoro Land Tbk,,Finance
2025-09-20,ARCI.JK,ARCI,PT Archi Indonesia Tbk,,Non-energy minerals
2025-09-20,AREA.JK,AREA,PT Dunia Virtual Online Tbk,,Technology services
2025-09-20,ARGO.JK,ARGO,PT Argo Pantes Tbk,,Process industries
2025-09-20,ARII.JK,ARII,PT Atlas Resources Tbk,,Energy minerals
2025-09-20,ARKA.JK,ARKA,PT Arkha Jayanti Persada Tbk,,Transportation
2025-09-20,ARKO.JK,ARKO,PT Arkora Hydro Tbk,,Industrial services
2025-09-20,ARNA.JK,ARNA,PT Arwana Citramulia Tbk,,Producer manufacturing
2025-09-20,ARTA.JK,ARTA,PT Arthavest Tbk,,Consumer services
2025-09-20,ARTO.JK,ARTO,PT Bank Jago Tbk,,Finance
2025-09-20,ASBI.JK,ASBI,PT Asuransi Bintang Tbk,,Finance
2025-09-20,ASDM.JK,ASDM,PT Asuransi Dayin Mitra Tbk,,Finance
2025-09-20,ASGR.JK,ASGR,PT Astra Graphia Tbk,,Technology services
2025-09-20,ASHA.JK,ASHA,PT Cilacap Samudera Fishing Industry Tbk,,Process industries
2025-09-20,ASII.JK,ASII,PT Astra International Tbk,,Technology services
2025-09-20,ASJT.JK,ASJT,PT Asuransi Jasa Tania Tbk,,Finance
2025-09-20,ASLC.JK,ASLC,PT Autopedia Sukses Lestari Tbk,,Distribution services
2025-09-20,ASMI.JK,ASMI,PT Asuransi Maximus Graha Persada Tbk,,Finance
2025-09-20,ASPI.JK,ASPI,PT Andalan Sakti Primaindo Tbk,,Finance
2025-09-20,ASPR.JK,ASPR,PT Asia Pramulia Tbk,,Producer manufacturing
2025-09-20,ASRI.JK,ASRI,PT Alam Sutera Realty Tbk,,Finance
2025-09-20,ASRM.JK,ASRM,PT Asuransi Ramayana Tbk,,Finance
